id_caja;descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Fragil
0;Fragil
0;Sin descripcion
0;Sin descripcion
0;Fragil
0;Sin descripcion
0;Fragil
0;Fragil
0;Sin descripcion
0;Fragil
