id_comuna;nombre
308;Aaronbury
41;Aaronstad
51;Aarontown
763;Acevedohaven
710;Adamfurt
783;Adamsland
231;Adamtown
501;Adkinsfort
416;Adkinshaven
561;Alanstad
808;Aliciabury
464;Allenberg
722;Allenland
72;Alvarezfort
825;Alvarezshire
371;Amandashire
725;Amyland
27;Amyshire
224;Amyview
451;Andersonbury
869;Andersonview
280;Andreastad
285;Andrewbury
492;Angelachester
299;Angelaton
720;Annamouth
428;Annaport
698;Annebury
259;Annetteberg
131;Anthonyside
834;Anthonyton
857;Anthonytown
831;Aprilfurt
743;Armstrongstad
636;Ashleyport
236;Baileyville
207;Ballmouth
339;Ballview
650;Barrettfort
380;Bartonbury
744;Batesview
537;Beasleybury
770;Beckerberg
200;Beckhaven
437;Bellmouth
702;Bellstad
589;Bellton
731;Bellville
662;Benjaminfurt
65;Bennettmouth
751;Bennettstad
873;Bethanyview
417;Bethhaven
608;Blakebury
153;Blakefort
243;Bradfordtown
668;Bradleyhaven
806;Bradleyland
61;Brandonshire
637;Brandontown
363;Brandymouth
755;Brayland
839;Brennanfort
562;Brianside
91;Brittanyfort
532;Brittanyport
523;Brittneyborough
761;Brooketon
48;Brooksbury
700;Browningmouth
15;Brownview
394;Butlerhaven
49;Butlermouth
283;Calderonville
293;Calvinton
510;Cameronmouth
840;Cameronside
841;Camposberg
462;Cardenasfurt
481;Carlsonstad
191;Carlville
194;Carmenville
234;Carrollchester
815;Cartertown
921;Caseyside
620;Castillochester
197;Chadfort
881;Chandlerbury
794;Charlesfurt
275;Charlesside
392;Chelseaville
485;Cherylmouth
528;Christopherview
489;Christopherville
110;Clarkbury
140;Clarkshire
601;Clarktown
291;Clementsfort
705;Clineburgh
317;Clineview
35;Colemanville
898;Coltonmouth
203;Connieport
101;Cooperville
667;Craigmouth
329;Cruzland
754;Crystalport
835;Curryshire
95;Cynthiaville
887;Danaport
155;Danielchester
505;Daniellefurt
125;Danielview
745;Dannyfurt
786;Davidborough
436;Davidburgh
268;Davidchester
696;Davidland
126;Davidmouth
450;Davidstad
237;Davidton
626;Davidville
571;Davisburgh
648;Davisshire
468;Deborahhaven
774;Deckerburgh
325;Denisestad
916;Dennisburgh
618;Dixonfurt
418;Dominiqueborough
907;Dorseyborough
414;Douglastown
530;Dukeburgh
141;Duranland
470;East Alejandrafort
278;East Alex
341;East Allen
398;East Amybury
742;East Andreabury
623;East April
284;East Aprilside
177;East Brian
360;East Brianview
433;East Bryanbury
604;East Carmenberg
495;East Catherineborough
169;East Charles
656;East Christina
37;East Christinastad
674;East Christine
300;East Christopher
704;East Christopherfort
74;East Davidberg
223;East Dianatown
102;East Edward
619;East Ellenburgh
11;East George
543;East Gregory
849;East Jacquelinefurt
478;East Jennifermouth
865;East Jenniferview
148;East Jesseton
115;East Jessica
723;East Jill
429;East Jodi
342;East John
500;East Joseph
860;East Juan
573;East Julie
475;East Kennethmouth
768;East Lauramouth
321;East Lawrenceshire
605;East Lisa
152;East Markton
6;East Matthew
9;East Matthewbury
843;East Megan
211;East Melissaburgh
575;East Michael
525;East Michellestad
844;East Nataliemouth
112;East Nicole
29;East Pamelafurt
282;East Paul
829;East Paula
19;East Paulburgh
337;East Ricardo
382;East Samanthabury
522;East Shane
233;East Shawn
538;East Shawnfort
473;East Shelbyport
885;East Stephanieside
163;East Stephen
932;East Tannermouth
740;East Taraville
202;East Terry
579;East Thomas
54;East Tiffany
559;East Veronicamouth
646;East William
929;Edwardport
480;Edwardville
747;Elizabethburgh
735;Elizabethfort
540;Emilyside
615;Ericburgh
3;Ericton
784;Ericville
160;Erinmouth
690;Estradaport
752;Evansmouth
567;Floresbury
327;Flynnfort
548;Foxberg
397;Frankchester
491;Franklinville
673;Freemanland
712;Fuentesshire
490;Garciaton
116;Georgechester
210;Georgetown
365;Gibsonchester
574;Gilmorefort
358;Gonzalesport
235;Gonzalestown
582;Gonzalezberg
820;Gonzalezland
121;Goodmanhaven
880;Goodmanshire
903;Graveshaven
400;Gregoryshire
891;Griffinshire
874;Grimesborough
855;Guerrerobury
856;Hahnshire
186;Hallport
403;Harrisberg
554;Harrisonfurt
79;Haydenhaven
606;Haysburgh
302;Heathermouth
133;Heatherview
600;Henryshire
349;Henrytown
506;Hernandezside
447;Hicksmouth
352;Higginshaven
906;Hinesborough
591;Hoganmouth
854;Hollandstad
893;Hollowayport
129;Hollychester
642;Holmesshire
629;Huertaview
208;Huffstad
326;Hunterland
930;Ianport
257;Ianshire
534;Ianside
55;Isaacburgh
944;Jacksonstad
909;Jacobhaven
628;Jacobsfort
529;Jamesbury
135;Jameschester
362;Janetchester
220;Jasmineshire
847;Jasonberg
23;Jasonland
128;Jeantown
56;Jefferyside
420;Jeffreyborough
142;Jenkinsmouth
164;Jenniferhaven
581;Jenniferview
322;Jenningsport
189;Jeremybury
886;Jeremyfurt
837;Jerryville
563;Jesseton
805;Jesseville
109;Jessicachester
328;Jillton
804;Johnport
832;Johnsburgh
584;Johnsonbury
851;Johnsonchester
348;Johnsonmouth
25;Johnsonshire
53;Johnsonside
354;Johnsonview
496;Jonathanfort
469;Jonathanmouth
773;Jonathanside
426;Jonesfort
588;Jonesland
195;Jonesshire
168;Jonesview
551;Josephshire
76;Josetown
746;Joycemouth
250;Juanhaven
297;Karenshire
67;Katherineside
408;Kathleenshire
245;Keithburgh
279;Kevinborough
239;Kevinton
750;Kimberg
515;Kimberlyshire
118;Kimtown
882;Kingtown
43;Kirkberg
759;Krauseborough
338;Kristinstad
498;Krystalside
411;Lake Aaron
12;Lake Aliciamouth
682;Lake Andrea
717;Lake Andrew
848;Lake Andrewshire
446;Lake Angela
295;Lake Angelabury
895;Lake Ashleymouth
289;Lake Benjamin
830;Lake Brettville
20;Lake Brookeburgh
