id_paquete;id_producto;id_caja
1;3410;0
2;3669;0
3;367;0
4;1352;0
5;3176;0
6;2928;0
7;1694;0
8;3720;0
9;1520;0
10;552;0
11;3687;0
12;816;0
13;3124;0
14;1880;0
15;3327;0
16;3561;0
17;55;0
18;3213;0
19;2588;0
20;709;0
21;1972;0
22;3675;0
23;2836;0
24;304;0
25;3646;0
26;2980;0
27;3690;0
28;919;0
29;2455;0
30;2462;0
31;756;0
32;3286;0
33;2015;0
34;1553;0
35;1804;0
36;221;0
37;668;0
38;3482;0
39;405;0
40;2000;0
41;3265;0
42;2942;0
43;3407;0
44;3394;0
45;1075;0
46;1297;0
47;2559;0
48;3263;0
49;3384;0
50;1672;0
51;755;0
52;2088;0
53;3160;0
54;3650;0
55;1621;0
56;1635;0
57;857;0
58;1893;0
59;1390;0
60;1076;0
61;3067;0
62;3170;0
63;2859;0
64;1846;0
65;1946;0
66;3704;0
67;2578;0
68;41;0
69;1176;0
70;1526;0
71;631;0
72;3217;0
73;3244;0
74;1348;0
75;3195;0
76;1220;0
77;161;0
78;1200;0
79;1051;0
80;3334;0
81;1138;0
82;68;0
83;2663;0
84;2174;0
85;3007;0
86;3322;0
87;281;0
88;623;0
89;3718;0
90;0;0
91;2006;0
92;2583;0
93;1184;0
94;3653;0
95;688;0
96;2881;0
97;324;0
98;3169;0
99;2704;0
100;935;0
101;171;0
102;3300;0
103;3487;0
104;1517;0
105;3494;0
106;1655;0
107;3061;0
108;3376;0
109;3492;0
110;1715;0
111;3151;0
112;2720;0
113;2299;0
114;2672;0
115;3168;0
116;2442;0
117;984;0
118;2742;0
119;1827;0
120;3164;0
121;3411;0
122;3077;0
123;2055;0
124;449;0
125;582;0
126;3609;0
127;1511;0
128;1372;0
129;3570;0
130;3622;0
131;2911;0
132;2827;0
133;2717;0
134;2271;0
135;2194;0
136;3424;0
137;3573;0
138;1206;0
139;3250;0
140;2;0
141;1648;0
142;2967;0
143;2749;0
144;2660;0
145;1665;0
146;3506;0
147;2806;0
148;3555;0
149;3516;0
150;630;0
151;1368;0
152;1859;0
153;2995;0
154;1574;0
155;440;0
156;3350;0
157;2091;0
158;3050;0
159;482;0
160;3408;0
161;3436;0
162;1704;0
163;2689;0
164;3447;0
165;1502;0
166;3539;0
167;2684;0
168;226;0
169;42;0
170;3150;0
171;1778;0
172;3275;0
173;2538;0
174;2735;0
175;2570;0
176;3223;0
177;3524;0
178;911;0
179;359;0
180;2907;0
181;204;0
182;3100;0
183;2998;0
184;1044;0
185;494;0
186;905;0
187;3382;0
188;7;0
189;138;0
190;1687;0
191;3240;0
192;3429;0
193;749;0
194;2184;0
195;1630;0
196;1223;0
197;3304;0
198;3118;0
199;848;0
200;656;0
201;2381;0
202;1341;0
203;2430;0
204;2202;0
205;568;0
206;729;0
207;3284;0
208;3190;0
209;2414;0
210;472;0
211;955;0
212;1120;0
213;3153;0
214;243;0
215;3138;0
216;473;0
217;594;0
218;3456;0
219;1237;0
220;1638;0
221;2698;0
222;1474;0
223;3086;0
224;430;0
225;3702;0
226;3432;0
227;2763;0
228;3627;0
229;2312;0
230;347;0
231;3648;0
232;2206;0
233;2508;0
234;828;0
235;1425;0
236;116;0
237;2413;0
238;2750;0
239;3711;0
240;2099;0
241;1529;0
242;1215;0
243;1513;0
244;1181;0
245;966;0
246;1146;0
247;2068;0
248;383;0
249;1531;0
250;3521;0
251;1083;0
252;3011;0
253;1440;0
254;1597;0
255;3478;0
256;2280;0
257;637;0
258;1011;0
259;3215;0
260;1853;0
261;40;0
262;1407;0
263;92;0
264;1640;0
265;2872;0
266;3045;0
267;2143;0
268;2023;0
269;1139;0
270;3484;0
271;1477;0
272;2953;0
273;79;0
274;3264;0
275;3387;0
276;3155;0
277;3583;0
278;132;0
279;1020;0
280;2260;0
281;2846;0
282;3448;0
283;797;0
284;395;0
285;3360;0
286;3110;0
287;2593;0
288;1271;0
289;1811;0
290;2722;0
291;1451;0
292;3324;0
293;1414;0
294;2358;0
295;293;0
296;2952;0
297;1034;0
298;524;0
299;1560;0
300;2179;0
301;1371;0
302;266;0
303;3489;0
304;1885;0
305;2713;0
306;2531;0
307;3175;0
308;1766;0
309;2496;0
310;1196;0
311;1217;0
312;3177;0
313;3023;0
314;3435;0
315;2518;0
316;3255;0
317;3167;0
318;201;0
319;2013;0
320;1241;0
321;3533;0
322;1755;0
323;94;0
324;3626;0
325;1803;0
326;2059;0
327;1856;0
328;1791;0
329;3051;0
330;2038;0
331;38;0
332;484;0
333;3589;0
334;3282;0
335;2249;0
336;2690;0
337;2685;0
338;3207;0
339;601;0
340;1483;0
341;3617;0
342;1906;0
343;1335;0
344;54;0
345;3427;0
346;97;0
347;66;0
348;2063;0
349;3525;0
350;2290;0
351;1295;0
352;3727;0
353;2972;0
354;2707;0
355;3393;0
356;1203;0
357;258;0
358;3414;0
359;17;0
360;1278;0
361;1726;0
362;535;0
363;2920;0
364;3040;0
365;2937;0
366;1172;0
367;3464;0
368;2129;0
369;3337;0
370;3347;0
371;2240;0
372;500;0
373;2554;0
374;775;0
375;3278;0
376;745;0
377;3488;0
378;1317;0
379;3091;0
380;3141;0
381;2480;0
382;885;0
383;39;0
384;3476;0
385;107;0
386;3542;0
387;3219;0
388;3637;0
389;1405;0
390;3588;0
391;3131;0
392;506;0
393;3412;0
394;3069;0
395;421;0
396;3081;0
397;3181;0
398;2788;0
399;2633;0
400;3261;0
401;239;0
402;433;0
403;3246;0
404;2465;0
405;2128;0
406;3331;0
407;2032;0
408;1282;0
409;2903;0
410;3581;0
411;2492;0
412;3060;0
413;3111;0
414;872;0
415;3619;0
416;420;0
417;3185;0
418;3462;0
419;1261;0
420;3572;0
421;2958;0
422;3463;0
423;1544;0
424;3655;0
425;1858;0
426;3025;0
427;2922;0
428;3567;0
429;1025;0
430;3140;0
431;3200;0
432;3649;0
433;3632;0
434;2860;0
435;2151;0
436;3058;0
437;3670;0
438;1266;0
439;3117;0
440;14;0
441;708;0
442;2354;0
443;104;0
444;35;0
445;3434;0
446;1624;0
447;578;0
448;3549;0
449;1759;0
450;3595;0
451;478;0
452;2982;0
453;3209;0
454;3192;0
455;228;0
456;140;0
457;1403;0
458;2623;0
459;1809;0
460;3599;0
461;2936;0
462;151;0
463;698;0
464;3205;0
465;2408;0
466;3587;0
467;1557;0
468;2165;0
469;230;0
470;2645;0
471;1924;0
472;1699;0
473;754;0
474;2616;0
475;3030;0
476;1124;0
477;3108;0
478;1183;0
479;2316;0
480;771;0
481;2975;0
482;3199;0
483;53;0
484;985;0
485;3444;0
486;509;0
487;3271;0
488;1463;0
489;1394;0
490;91;0
491;3272;0
492;3685;0
493;738;0
494;2024;0
495;577;0
496;2743;0
497;95;0
498;701;0
499;2113;0
500;1664;0
501;3442;0
502;3470;0
503;1272;0
504;1631;0
505;1057;0
506;1210;0
507;1542;0
508;646;0
509;644;0
510;2700;0
511;2819;0
512;2631;0
513;2949;0
514;1092;0
515;3137;0
516;2214;0
517;3490;0
518;341;0
519;2785;0
520;2045;0
521;3341;0
522;875;0
523;1515;0
524;3298;0
525;801;0
526;3129;0
527;2930;0
528;1842;0
529;3509;0
530;2787;0
531;2094;0
532;2236;0
533;727;0
534;2970;0
535;72;0
536;2257;0
537;413;0
538;1510;0
539;855;0
540;2764;0
541;1594;0
542;1143;0
543;1841;0
544;205;0
545;2349;0
546;1130;0
547;649;0
548;652;0
549;648;0
550;2332;0
551;2738;0
552;2076;0
553;926;0
554;1095;0
555;1761;0
556;893;0
557;2259;0
558;485;0
559;2365;0
560;1152;0
561;2955;0
562;3083;0
563;234;0
564;1128;0
565;860;0
566;2669;0
567;2364;0
568;2269;0
569;3055;0
570;3270;0
571;3610;0
572;1762;0
573;391;0
574;3317;0
575;1826;0
576;1772;0
577;3647;0
578;1208;0
579;3329;0
580;1016;0
581;46;0
582;3037;0
583;2469;0
584;3253;0
585;1863;0
586;3289;0
587;1480;0
588;2234;0
589;1830;0
590;2832;0
591;1840;0
592;1004;0
593;3318;0
594;2487;0
595;1228;0
596;3243;0
597;2783;0
598;2560;0
599;3297;0
600;43;0
601;1868;0
602;2096;0
603;692;0
604;782;0
605;1569;0
606;1807;0
607;2270;0
608;1835;0
609;597;0
610;2726;0
611;2696;0
612;3630;0
613;470;0
614;3096;0
615;2350;0
616;3287;0
617;3158;0
618;2795;0
619;3095;0
620;2180;0
621;36;0
622;1361;0
623;750;0
624;2584;0
625;495;0
626;3582;0
627;4;0
628;3323;0
629;1973;0
630;2965;0
631;224;0
632;2176;0
633;2504;0
634;469;0
635;1018;0
636;447;0
637;303;0
638;1540;0
639;332;0
640;1448;0
641;3514;0
642;3678;0
643;1201;0
644;2226;0
645;669;0
646;1948;0
647;379;0
648;1027;0
649;2574;0
650;3102;0
651;3078;0
652;2186;0
653;2283;0
654;3620;0
655;2033;0
656;2489;0
657;780;0
658;3596;0
659;689;0
660;2954;0
661;261;0
662;453;0
663;2048;0
664;3597;0
665;2479;0
666;27;0
667;2067;0
668;1385;0
669;1592;0
670;1698;0
671;2775;0
672;946;0
673;483;0
674;3115;0
675;3352;0
676;959;0
677;380;0
678;1534;0
679;2379;0
680;1433;0
681;1035;0
682;2362;0
683;3701;0
684;101;0
685;1179;0
686;2791;0
687;149;0
688;245;0
689;375;0
690;1376;0
691;544;0
692;3644;0
693;628;0
694;323;0
695;2437;0
696;2329;0
697;2575;0
698;2532;0
699;59;0
700;2058;0
701;2610;0
702;595;0
703;834;0
704;1563;0
705;3397;0
706;62;0
707;3388;0
708;2248;0
709;1612;0
710;3651;0
711;1911;0
712;3676;0
713;1813;0
714;465;0
715;2142;0
716;3225;0
717;2158;0
718;3017;0
719;1651;0
720;3628;0
721;2424;0
722;3120;0
723;2520;0
724;1122;0
725;3082;0
726;1751;0
727;3441;0
728;1658;0
729;302;0
730;3114;0
731;1737;0
732;1160;0
733;517;0
734;2448;0
735;389;0
736;69;0
737;2626;0
738;1930;0
739;3633;0
740;1233;0
741;1577;0
742;845;0
743;3518;0
744;599;0
745;77;0
746;3666;0
747;1724;0
748;3565;0
749;3606;0
750;1545;0
751;208;0
752;2745;0
753;2513;0
754;387;0
755;2305;0
756;73;0
757;1720;0
758;2104;0
759;2084;0
760;3291;0
761;3571;0
762;683;0
763;2883;0
764;353;0
765;486;0
766;616;0
767;3443;0
768;307;0
769;2734;0
770;1896;0
771;3309;0
772;3679;0
773;2360;0
774;1406;0
775;3238;0
776;3423;0
777;1118;0
778;2655;0
779;1626;0
780;3351;0
781;3624;0
782;3365;0
783;1949;0
784;361;0
785;1691;0
786;2983;0
787;3374;0
788;2621;0
789;2712;0
790;1031;0
791;1643;0
792;309;0
793;2439;0
794;2275;0
795;3586;0
796;2288;0
797;3532;0
798;1963;0
799;3497;0
800;1957;0
801;1945;0
802;1462;0
803;5;0
804;3395;0
805;941;0
806;2811;0
807;986;0
808;424;0
809;3700;0
810;47;0
811;3545;0
812;563;0
813;2844;0
814;3064;0
815;2688;0
816;3522;0
817;3033;0
818;1661;0
819;142;0
820;1073;0
821;3590;0
822;3148;0
823;2780;0
824;2697;0
825;1436;0
826;2029;0
827;1140;0
828;1879;0
829;3531;0
830;1221;0
831;3425;0
832;3569;0
833;326;0
834;1727;0
835;3377;0
836;1512;0
837;3330;0
838;3089;0
839;538;0
840;559;0
841;1037;0
842;2401;0
843;2098;0
844;2494;0
845;2544;0
846;2040;0
847;3294;0
848;776;0
849;2893;0
850;285;0
851;74;0
852;581;0
853;1616;0
854;317;0
855;3026;0
