id_contenido;id_producto;id_caja;peso
1;3410;0;1.7
2;3669;0;4.8
3;367;0;1.0
4;1352;0;1.6
5;3176;0;1.0
6;2928;0;6.9
7;1694;0;1.8
8;3720;0;6.0
9;1520;0;1.5
10;552;0;6.6
11;3687;0;7.6
12;816;0;10.5
13;3124;0;6.3
14;1880;0;5.7
15;3327;0;10.0
16;3561;0;5.4
17;55;0;7.8
18;3213;0;8.9
19;2588;0;2.5
20;709;0;4.1
21;1972;0;2.4
22;3675;0;6.7
23;2836;0;4.7
24;304;0;9.7
25;3646;0;1.4
26;2980;0;1.7
27;3690;0;3.6
28;919;0;2.0
29;2455;0;9.9
30;2462;0;1.3
31;756;0;4.9
32;3286;0;8.1
33;2015;0;7.9
34;1553;0;2.4
35;1804;0;4.1
36;221;0;2.9
37;668;0;5.8
38;3482;0;10.9
39;405;0;5.8
40;2000;0;10.9
41;3265;0;8.8
42;2942;0;2.6
43;3407;0;7.1
44;3394;0;3.7
45;1075;0;8.1
46;1297;0;6.1
47;2559;0;5.1
48;3263;0;9.0
49;3384;0;3.0
50;1672;0;7.0
51;755;0;6.6
52;2088;0;1.1
53;3160;0;9.2
54;3650;0;3.0
55;1621;0;3.9
56;1635;0;1.0
57;857;0;3.5
58;1893;0;6.3
59;1390;0;9.9
60;1076;0;4.5
61;3067;0;3.3
62;3170;0;4.9
63;2859;0;6.1
64;1846;0;1.4
65;1946;0;1.7
66;3704;0;9.0
67;2578;0;3.1
68;41;0;9.2
69;1176;0;9.4
70;1526;0;7.8
71;631;0;6.2
72;3217;0;1.6
73;3244;0;10.7
74;1348;0;9.6
75;3195;0;5.6
76;1220;0;4.6
77;161;0;4.7
78;1200;0;6.9
79;1051;0;2.8
80;3334;0;7.7
81;1138;0;3.1
82;68;0;8.5
83;2663;0;2.0
84;2174;0;1.6
85;3007;0;8.7
86;3322;0;1.6
87;281;0;1.2
88;623;0;7.7
89;3718;0;6.3
90;0;0;3.3
91;2006;0;1.2
92;2583;0;10.1
93;1184;0;8.4
94;3653;0;6.9
95;688;0;3.0
96;2881;0;9.9
97;324;0;7.8
98;3169;0;7.1
99;2704;0;1.5
100;935;0;1.8
101;171;0;7.7
102;3300;0;4.0
103;3487;0;7.9
104;1517;0;1.4
105;3494;0;2.1
106;1655;0;8.6
107;3061;0;2.3
108;3376;0;3.3
109;3492;0;2.0
110;1715;0;10.9
111;3151;0;6.8
112;2720;0;6.2
113;2299;0;10.5
114;2672;0;5.0
115;3168;0;2.1
116;2442;0;5.9
117;984;0;6.2
118;2742;0;7.9
119;1827;0;6.9
120;3164;0;5.1
121;3411;0;4.4
122;3077;0;10.5
123;2055;0;1.2
124;449;0;8.4
125;582;0;5.5
126;3609;0;5.8
127;1511;0;4.1
128;1372;0;2.4
129;3570;0;8.0
130;3622;0;6.7
131;2911;0;9.9
132;2827;0;6.8
133;2717;0;1.7
134;2271;0;5.0
135;2194;0;10.0
136;3424;0;1.4
137;3573;0;2.6
138;1206;0;5.9
139;3250;0;10.5
140;2;0;9.7
141;1648;0;4.7
142;2967;0;6.7
143;2749;0;7.9
144;2660;0;3.6
145;1665;0;10.0
146;3506;0;1.8
147;2806;0;3.1
148;3555;0;5.3
149;3516;0;10.6
150;630;0;4.5
151;1368;0;9.6
152;1859;0;1.3
153;2995;0;1.5
154;1574;0;2.1
155;440;0;10.2
156;3350;0;3.2
157;2091;0;2.9
158;3050;0;1.0
159;482;0;4.0
160;3408;0;8.5
161;3436;0;6.5
162;1704;0;3.1
163;2689;0;7.3
164;3447;0;1.7
165;1502;0;8.4
166;3539;0;7.6
167;2684;0;8.7
168;226;0;8.1
169;42;0;6.4
170;3150;0;8.8
171;1778;0;5.5
172;3275;0;1.1
173;2538;0;7.2
174;2735;0;1.6
175;2570;0;6.1
176;3223;0;2.7
177;3524;0;8.0
178;911;0;7.9
179;359;0;10.1
180;2907;0;4.0
181;204;0;6.4
182;3100;0;7.6
183;2998;0;9.7
184;1044;0;1.4
185;494;0;5.0
186;905;0;9.5
187;3382;0;6.9
188;7;0;6.1
189;138;0;2.1
190;1687;0;6.3
191;3240;0;4.4
192;3429;0;8.8
193;749;0;3.0
194;2184;0;10.3
195;1630;0;10.3
196;1223;0;8.0
197;3304;0;5.5
198;3118;0;1.4
199;848;0;5.5
200;656;0;9.8
201;2381;0;3.7
202;1341;0;7.3
203;2430;0;3.1
204;2202;0;4.5
205;568;0;10.6
206;729;0;5.6
207;3284;0;2.4
208;3190;0;4.1
209;2414;0;6.0
210;472;0;10.4
211;955;0;5.6
212;1120;0;10.9
213;3153;0;10.8
214;243;0;9.3
215;3138;0;4.4
216;473;0;8.2
217;594;0;6.2
218;3456;0;8.9
219;1237;0;10.7
220;1638;0;6.6
221;2698;0;2.3
222;1474;0;8.8
223;3086;0;6.6
224;430;0;5.2
225;3702;0;5.9
226;3432;0;1.0
227;2763;0;9.6
228;3627;0;4.4
229;2312;0;1.4
230;347;0;5.4
231;3648;0;9.5
232;2206;0;6.3
233;2508;0;9.0
234;828;0;10.0
235;1425;0;5.2
236;116;0;3.1
237;2413;0;2.5
238;2750;0;4.9
239;3711;0;6.4
240;2099;0;2.5
241;1529;0;9.8
242;1215;0;4.4
243;1513;0;3.5
244;1181;0;3.9
245;966;0;8.2
246;1146;0;3.8
247;2068;0;3.0
248;383;0;7.3
249;1531;0;3.9
250;3521;0;10.2
251;1083;0;7.3
252;3011;0;4.0
253;1440;0;3.4
254;1597;0;3.6
255;3478;0;2.0
256;2280;0;8.5
257;637;0;4.5
258;1011;0;6.8
259;3215;0;1.5
260;1853;0;8.9
261;40;0;1.7
